original_row,reconstructed_row,original_material,reconstructed_material,power,velocity,layer_thickness,original_paper_id,reconstructed_paper_id,notes
58,601,IN625,IN625 (Inconel 625),160,2800,40,6,file6,material normalized but same paper and parameter row
59,602,IN625,IN625 (Inconel 625),160,2800,40,6,file6,material normalized but same paper and parameter row
60,603,IN625,IN625 (Inconel 625),160,2800,40,6,file6,material normalized but same paper and parameter row
61,604,IN625,IN625 (Inconel 625),160,2800,40,6,file6,material normalized but same paper and parameter row
62,605,IN625,IN625 (Inconel 625),225,1940,40,6,file6,material normalized but same paper and parameter row
63,606,IN625,IN625 (Inconel 625),225,1940,40,6,file6,material normalized but same paper and parameter row
64,607,IN625,IN625 (Inconel 625),225,1940,40,6,file6,material normalized but same paper and parameter row
65,608,IN625,IN625 (Inconel 625),225,1940,40,6,file6,material normalized but same paper and parameter row
66,609,IN625,IN625 (Inconel 625),225,1940,40,6,file6,material normalized but same paper and parameter row
67,610,IN625,IN625 (Inconel 625),225,1940,40,6,file6,material normalized but same paper and parameter row
68,611,IN625,IN625 (Inconel 625),225,1940,40,6,file6,material normalized but same paper and parameter row
69,612,IN625,IN625 (Inconel 625),350,1680,40,6,file6,material normalized but same paper and parameter row
70,613,IN625,IN625 (Inconel 625),350,1680,40,6,file6,material normalized but same paper and parameter row
71,614,IN625,IN625 (Inconel 625),350,1680,40,6,file6,material normalized but same paper and parameter row
72,615,IN625,IN625 (Inconel 625),350,1680,40,6,file6,material normalized but same paper and parameter row
73,616,IN625,IN625 (Inconel 625),350,1680,40,6,file6,material normalized but same paper and parameter row
578,373,Ti-45Al,Ti-45Al,125,20,150,26,file26,exact material with normalized paper id
580,378,Ti-45Al,Ti-45Al,175,20,150,26,file26,exact material with normalized paper id
581,379,Ti-45Al,Ti-45Al,200,20,150,26,file26,exact material with normalized paper id
